Edible,Color,Shape,Surface
I,Gray,Bellshaped,Smooth
E,Gray,Convex,Smooth
E,White,Puffballs,Patches
E,Brown,Knobbed,Smooth
E,PaleTan,Depressed,Smooth
I,GrayBrown,Earthstars,Smooth
P,Pink,Shellshaped,Hairy
P,Brown,Flat,Smooth
P,Orange,Corticioid,
I,BlueBrown,Flat,Silky
E,Brown,Bolete,Silky
E,Brown,Bolete,Silky
I,WhitePink,JellyFungi,
E,OrangeYellow,Shellshaped,Fibrous
P,Brown,Convex,FlatScales
P,Orange,Funnelshaped,Smooth
P,White,Funnelshaped,Smooth
P,Orange,Depressed,Smooth
I,Brown,Polypore,Velvety
P,Brown,CupFungi,Smooth
P,Brown,CupFungi,Smooth
E,Yellow,CupFungi,Smooth
E,White,Flat,Smooth
E,DarkBrown,Conical,
P,Brown,CupFungi,Smooth
E,BrownPale,Bellshaped,Smooth
E,WhiteGray,Convex,Smooth
E,Brown,Convex,Smooth
E,Gray,Convex,Smooth
I,BrownDark,Convex,Smooth
E,DarkBrown,Conical,Smooth
E,BrownPale,Bellshaped,Smooth
I,WhitePale,Conical,Smooth
I,White,Shellshaped,Silky
E,Green,Shellshaped,Smooth
P,PaleBrown,Convex,Hairy
E,Purple,Depressed,Smooth
I,PinkTan,Convex,Hairy
P,PaleTan,Depressed,Smooth
E,Yellow,Depressed,Smooth
P,YellowBrown,Depressed,Smooth
I,Gray,Conical,Smooth
P,Brown,Convex,Smooth
I,Gray,Depressed,Smooth
P,PaleGray,Depressed,
I,Gray,Bellshaped,Powder
P,Brown,Depressed,Smooth
P,Brown,Funnelshaped,FlatScales
P,Brown,CupFungi,Smooth
I,Brown,CupFungi,Smooth
E,BrownDark,CupFungi,Smooth
P,GrayPale,CupFungi,Smooth
I,Brown,CupFungi,Smooth
P,Brown,CupFungi,Smooth
P,Brown,CupFungi,Smooth
P,VioletLilac,CupFungi,Smooth
P,Brown,Flat,Powder
P,DarkBrown,Polypore,Velvety
E,BrownDark,Stinkhorns,
E,Dark,Stinkhorns,
E,DarkWhite,Stinkhorns,
E,Dark,Stinkhorns,
P,BrownYellow,Stinkhorns,
E,Dark,Stinkhorns,
I,Red,Stinkhorns,
I,Brown,Shellshaped,Velvety
P,Dark,Shellshaped,Smooth
P,Dark,Shellshaped,
I,Dark,Shellshaped,
P,BrownGray,Shellshaped,Hairy
I,GrayBrown,ToothFungi,Hairy
I,Dark,Funnelshaped,Velvety
P,Brown,ToothFungi,Fibrous
P,Orange,Corticioid,Hairy
E,Yellow,Bellshaped,Patches
P,Yellow,Flat,Smooth
P,Yellow,Convex,Patches
I,Yellow,Bellshaped,Hairy
P,Pale,Convex,Patches
E,Brown,Flat,Smooth
I,OrangeYellow,Flat,Patches
P,BrownPale,Flat,Fibrous
P,Yellow,Flat,Patches
E,Orange,Convex,Smooth
P,PinkPurple,Convex,Fibrous
E,YellowBrown,Convex,Fibrous
P,Yellow,Bellshaped,Fibrous
E,Yellow,Bellshaped,RaisedScales
P,BrownYellow,Bellshaped,Smooth
E,Brown,Flat,Smooth
E,Brown,Flat,Smooth
I,Orange,Shellshaped,Hairy
P,DarkBrown,Truffles,Smooth
P,Dark,CupFungi,RaisedScales
P,White,Funnelshaped,Smooth
E,Brown,Shellshaped,Smooth
E,Yellow,Funnelshaped,Smooth
E,Gray,Shellshaped,Smooth
E,WhitePale,Depressed,Smooth
E,Pink,Shellshaped,Silky
E,White,Convex,Patches
E,WhiteBrown,Convex,Smooth
E,White,Depressed,Smooth
E,GrayBrown,Shellshaped,Smooth
E,White,Shellshaped,Smooth
E,White,Shellshaped,Smooth
P,White,Corticioid,Hairy
E,DarkBrown,Convex,Smooth
E,Brown,Flat,Fibrous
E,Yellow,Knobbed,Smooth
E,Yellow,Convex,Silky
P,WhiteGray,Bellshaped,Smooth
E,Pale,Flat,Smooth
E,Brown,Flat,
E,Gray,Convex,Smooth
E,DarkBrown,Flat,Fibrous
P,Brown,Convex,Velvety
E,White,Cylindrical,Fibrous
E,BluePurple,Funnelshaped,Velvety
P,Brown,Polypore,Silky
I,GrayBrown,Flat,Fibrous
I,Brown,Polypore,Smooth
I,Brown,Polypore,Smooth
E,Brown,Funnelshaped,Hairy
E,Gray,Polypore,Smooth
I,Gray,CupFungi,Smooth
I,Shell-shapedPolypore,Smooth,
I,DarkBrown,Bolete,Silky
E,Pink,Conical,Smooth
P,BlueGray,Polypore,Fibrous
P,White,Shellshaped,Hairy
I,White,Shellshaped,Velvety
P,White,Shellshaped,Velvety
P,BrownPale,Bellshaped,Smooth
E,Pale,Flat,Smooth
I,BrownPale,Bellshaped,Smooth
P,Brown,Flat,Smooth
P,Brown,Conical,Fibrous
